"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"20 Microns Limited","35286502","15893364","    45.04","19393138","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","1706458","35278633","4.84",,"23-Oct-2025 16:30:42"
"21st Century Management Services Limited","10500000","6765193","    64.43","3734807","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","54170","10202574","0.53",,"23-Oct-2025 16:30:18"
"360 ONE WAM LIMITED","404760442","25328244","     6.26","379432198","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","5436770","404622710","1.34",,"23-Oct-2025 16:30:53"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","164467","11229443","1.46",,"23-Oct-2025 16:30:20"
"3P Land Holdings Limited","18000000","13194158","    73.30","4805842","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","66049","17685975","0.37",,"23-Oct-2025 16:30:15"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","2828344","46034056","6.14",,"23-Oct-2025 16:30:33"
"A2Z Infra Engineering Limited","176119858","49560983","    28.14","126558875","49402301","    99.68","    28.05",,"23-Oct-2025 16:30:45","56613470","176115041","32.15",,"23-Oct-2025 16:30:45"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","1501788","211207114","0.71",,"23-Oct-2025 16:30:16"
"ACC Limited","187787263","106456927","    56.69","81330336","0","     0.00","     0.00",,"23-Oct-2025 16:30:07","3078275","185801044","1.66",,"23-Oct-2025 16:30:07"
"ADF Foods Limited","109863595","39698565","    36.13","70165030","500000","     1.26","     0.46",,"23-Oct-2025 16:30:44","8740743","108347590","8.07",,"23-Oct-2025 16:30:44"
"AGS Transact Technologies Limited","128433076","34331205","    26.73","94101871","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","2514271","128432895","1.96",,"23-Oct-2025 16:30:54"
"AIA Engineering Limited","93320370","54588377","    58.50","38731993","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","346220","93320359","0.37",,"23-Oct-2025 16:30:34"
"AION-TECH SOLUTIONS LIMITED","52261836","30759698","    58.86","21502138","888000","     2.89","     1.70",,"23-Oct-2025 16:30:28","3008095","52127107","5.77",,"23-Oct-2025 16:30:28"
"AJR INFRA AND TOLLING LIMITED","941830724","100999800","    10.72","840830924","100999800","   100.00","    10.72",,"23-Oct-2025 16:30:42","115725486","941821423","12.29",,"23-Oct-2025 16:30:42"
"AMD Industries Limited","19166749","12789849","    66.73","6376900","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","139211","19166663","0.73",,"23-Oct-2025 16:30:38"
"ANDHRA PAPER LIMITED","198850195","144063000","    72.45","54787195","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","6797204","198093885","3.43",,"23-Oct-2025 16:30:20"
"APL Apollo Tubes Limited","277636026","78578549","    28.30","199057477","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","12070459","277632109","4.35",,"23-Oct-2025 16:30:47"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64",,"23-Oct-2025 16:30:43","3285333","22725240","14.46",,"23-Oct-2025 16:30:43"
"ATLANTAA LIMITED","81497971","60856728","    74.67","20641243","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","2986009","81499995","3.66",,"23-Oct-2025 16:30:35"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","235985","36543045","0.65",,"23-Oct-2025 16:30:35"
"AU Small Finance Bank Limited","746111222","170298412","    22.82","575812810","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","12615713","746269326","1.69",,"23-Oct-2025 16:30:51"
"AVG Logistics Limited","15057720","7906224","    52.51","7151496","3578298","    45.26","    23.76",,"23-Oct-2025 16:30:52","4092553","15057720","27.18",,"23-Oct-2025 16:30:52"
"AVT Natural Products Limited","152284000","114212975","    75.00","38071025","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","1184477","148927764","0.8",,"23-Oct-2025 16:30:37"
"AXISCADES Technologies Limited","42497653","24682047","    58.08","17815606","3895000","    15.78","     9.17",,"23-Oct-2025 16:30:28","5426140","42473900","12.78",,"23-Oct-2025 16:30:28"
"Aadhar Housing Finance Limited","433092732","326191357","    75.32","106901375","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","10386082","433089832","2.4",,"23-Oct-2025 16:30:53"
"Aarti Drugs Limited","91270000","49944455","    54.72","41325545","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","3420709","90689841","3.77",,"23-Oct-2025 16:30:23"
"Aarti Industries Limited","362593869","152933460","    42.18","209660409","5447500","     3.56","     1.50",,"23-Oct-2025 16:30:20","29645618","361355670","8.2",,"23-Oct-2025 16:30:20"
"Aarti Pharmalabs Limited","90641224","38867400","    42.88","51773824","3000","     0.01","     0.00",,"23-Oct-2025 16:30:54","5858200","90641224","6.46",,"23-Oct-2025 16:30:54"
"Aban Offshore Limited","58365323","26846160","    46.00","31519163","5200000","    19.37","     8.91",,"23-Oct-2025 16:30:16","6620099","58178430","11.38",,"23-Oct-2025 16:30:16"
"Abans Financial Services Limited","50610040","36149995","    71.43","14460045","3750000","    10.37","     7.41",,"23-Oct-2025 16:30:54","4522693","49414090","9.15",,"23-Oct-2025 16:30:54"
"Abhishek Corporation Limited","16008462","9225495","    57.63","6782967","8164316","    88.50","    51.00",,"23-Oct-2025 16:30:38","8184102","16007896","51.13",,"23-Oct-2025 16:30:38"
"Accelya Solutions India Limited","14926261","11143295","    74.66","3782966","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","678956","14873349","4.56",,"23-Oct-2025 16:30:26"
"Accuracy Shipping Limited","150560000","95886990","    63.69","54673010","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","2238895","150560000","1.49",,"23-Oct-2025 16:30:52"
"Action Construction Equipment Limited","119083196","77976059","    65.48","41107137","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","4072037","119074530","3.42",,"23-Oct-2025 16:30:36"
"Adani Energy Solutions Limited","1201282642","855233387","    71.19","346049255","6798321","     0.79","     0.57",,"23-Oct-2025 16:30:49","12415239","1201103216","1.03",,"23-Oct-2025 16:30:49"
"Adani Enterprises Limited","1154180729","853770953","    73.97","300409776","7700000","     0.90","     0.67",,"23-Oct-2025 16:30:12","17029814","1154066290","1.48",,"23-Oct-2025 16:30:12"
"Adani Green Energy Limited","1647176155","1028396636","    62.43","618779519","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","9240110","1616971600","0.57",,"23-Oct-2025 16:30:52"
"Adani Ports and Special Economic Zone Limited","2160138945","1423376085","    65.89","736762860","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","19402875","2160028086","0.9",,"23-Oct-2025 16:30:40"
"Adani Power Limited","19284694705","14455626835","    74.96","4829067870","261500000","     1.81","     1.36",,"23-Oct-2025 16:30:42","403382734","19284694705","2.09",,"23-Oct-2025 16:30:42"
"Aditya Birla Capital Limited","2612513288","1794799952","    68.70","817713336","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","32973440","2605544678","1.27",,"23-Oct-2025 16:30:51"
"Aditya Birla Fashion and Retail Limited","1220294773","573087118","    46.96","647207655","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","114201903","1215167751","9.4",,"23-Oct-2025 16:30:48"
"Aditya Birla Money Limited","56509201","41550000","    73.53","14959201","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","1347245","55645847","2.42",,"23-Oct-2025 16:30:41"
"Aditya Birla Real Estate Limited","111695680","57230737","    51.24","54464943","0","     0.00","     0.00",,"23-Oct-2025 16:30:10","4273447","111140990","3.85",,"23-Oct-2025 16:30:10"
"Ador Welding Limited","17402815","9349216","    53.72","8053599","0","     0.00","     0.00",,"23-Oct-2025 16:30:10","218752","17069251","1.28",,"23-Oct-2025 16:30:10"
"Advanced Enzyme Technologies Limited","111881150","48191620","    43.07","63689530","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","2839471","111730800","2.54",,"23-Oct-2025 16:30:50"
"Advani Hotels & Resorts (India) Limited","92438500","46446204","    50.25","45992296","0","     0.00","     0.00",,"23-Oct-2025 16:30:14","455283","91919690","0.5",,"23-Oct-2025 16:30:14"
"Aegis Logistics Limited","351000000","203924675","    58.10","147075325","0","     0.00","     0.00",,"23-Oct-2025 16:30:11","5304199","348583505","1.52",,"23-Oct-2025 16:30:11"
"Afcons Infrastructure Limited","367784631","184506596","    50.17","183278035","98707456","    53.50","    26.84",,"23-Oct-2025 16:30:54","102804871","367697189","27.96",,"23-Oct-2025 16:30:54"
"Agarwal Industrial Corporation Limited","14957789","8555434","    57.20","6402355","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","513712","14953489","3.44",,"23-Oct-2025 16:30:48"
"Agri-Tech (India) Limited","5940000","1835487","    30.90","4104513","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","95392","5682617","1.68",,"23-Oct-2025 16:30:48"
"Agro Phos India Limited","20274115","11002425","    54.27","9271690","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","382264","19799055","1.93",,"23-Oct-2025 16:30:50"
"Ahlada Engineers Limited","12921000","6370501","    49.30","6550499","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","209031","12921000","1.62",,"23-Oct-2025 16:30:52"
"Ahluwalia Contracts (India) Limited","66987560","37055977","    55.32","29931583","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","958143","66936176","1.43",,"23-Oct-2025 16:30:43"
"Airo Lam limited","15002000","7971571","    53.14","7030429","1400200","    17.56","     9.33",,"23-Oct-2025 16:30:51","1626963","15002000","10.84",,"23-Oct-2025 16:30:51"
"Ajanta Pharma Limited","124935624","82763777","    66.25","42171847","12643922","    15.28","    10.12",,"23-Oct-2025 16:30:27","14582258","124779560","11.69",,"23-Oct-2025 16:30:27"
"Ajmera Realty & Infra India Limited","39359130","26854742","    68.23","12504388","56000","     0.21","     0.14",,"23-Oct-2025 16:30:42","1349127","39329595","3.43",,"23-Oct-2025 16:30:42"
"Akg Exim Limited","31776576","11948398","    37.60","19828178","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","1537665","31774976","4.84",,"23-Oct-2025 16:30:52"
"Akme Fintrade (India) Limited","426749960","175837410","    41.20","250912550","22260000","    12.66","     5.22",,"23-Oct-2025 16:30:54","42585623","426647110","9.98",,"23-Oct-2025 16:30:54"
"Aksh Optifibre Limited","162697971","32095862","    19.73","130602109","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","12840023","162608405","7.9",,"23-Oct-2025 16:30:28"
"Akzo Nobel India Limited","45540314","31767320","    69.76","13772994","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","183048","45185609","0.41",,"23-Oct-2025 16:30:21"
"Alankit Limited","271158100","146826224","    54.15","124331876","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","4881556","270839260","1.8",,"23-Oct-2025 16:30:49"
"Alchemist Limited","13559800","4738341","    34.94","8821459",,,,,"23-Oct-2025 16:30:39","59686","12933102","0.46",,"23-Oct-2025 16:30:39"
"Alembic Limited","256781828","182011077","    70.88","74770751","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","8104572","254879069","3.18",,"23-Oct-2025 16:30:26"
"Alembic Pharmaceuticals Limited","196563124","137081813","    69.74","59481311","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","989382","195665368","0.51",,"23-Oct-2025 16:30:46"
"Alicon Castalloy Limited","16336840","8824199","    54.01","7512641","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","238887","16311440","1.46",,"23-Oct-2025 16:30:36"
"Alivus Life Sciences Limited","122681348","91896285","    74.91","30785063","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","968490","122681348","0.79",,"23-Oct-2025 16:30:53"
"Alkali Metals Limited","10182506","7085842","    69.59","3096664","2130000","    30.06","    20.92",,"23-Oct-2025 16:30:42","2316902","10181998","22.75",,"23-Oct-2025 16:30:42"
"Alkyl Amines Chemicals Limited","51143977","36837268","    72.03","14306709","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","852130","50816357","1.68",,"23-Oct-2025 16:30:24"
"Allcargo Gati Limited","147075551","67774462","    46.08","79301089","8750","     0.01","     0.01",,"23-Oct-2025 16:30:28","7895588","146689701","5.38",,"23-Oct-2025 16:30:28"
"Allcargo Logistics Limited","982782096","621951585","    63.28","360830511","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","50247528","982724076","5.11",,"23-Oct-2025 16:30:35"
"Alldigi Tech Limited","15238326","11182912","    73.39","4055414","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","502391","15238277","3.3",,"23-Oct-2025 16:30:32"
"Allied Digital Services Limited","56427803","28861800","    51.15","27566003","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","1927122","54937699","3.51",,"23-Oct-2025 16:30:39"
"Almondz Global Securities Limited","173646754","88878130","    51.18","84768624","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","11375927","172959634","6.58",,"23-Oct-2025 16:30:42"
"Alok Industries Limited","4965240401","3723845177","    75.00","1241395224","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","117986614","4963095982","2.38",,"23-Oct-2025 16:30:53"
"Alpa Laboratories Limited","21040600","12055010","    57.29","8985590","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","487128","21035400","2.32",,"23-Oct-2025 16:30:39"
"Alphageo (India) Limited","6364767","2927192","    45.99","3437575","280534","     9.58","     4.41",,"23-Oct-2025 16:30:39","587185","6313538","9.3",,"23-Oct-2025 16:30:39"
"Alps Industries Limited","39114100","8686018","    22.21","30428082","4019018","    46.27","    10.28",,"23-Oct-2025 16:30:23","4536360","39043302","11.62",,"23-Oct-2025 16:30:23"
"Amara Raja Energy & Mobility Limited","183025364","60145316","    32.86","122880048","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","6698990","182679273","3.67",,"23-Oct-2025 16:30:12"
"Ambica Agarbathies & Aroma industries Limited","17177400","7457532","    43.41","9719868","2000","     0.03","     0.01",,"23-Oct-2025 16:30:31","184547","17005281","1.09",,"23-Oct-2025 16:30:31"
"Ambika Cotton Mills Limited","5725000","2882350","    50.35","2842650","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","162035","5698629","2.84",,"23-Oct-2025 16:30:41"
"Ambuja Cements Limited","2463123478","1664704984","    67.59","798418494","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","25641807","2464987263","1.04",,"23-Oct-2025 16:30:21"
"Amit Spinning Industries Limited","41169667","20981077","    50.96","20188590","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","8233934","39142447","21.04",,"23-Oct-2025 16:30:33"
"Amj Land Holdings Limited","41000000","27035005","    65.94","13964995","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","1244362","40518145","3.07",,"23-Oct-2025 16:30:20"
"Amrutanjan Health Care Limited","28910630","13458739","    46.55","15451891","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","601636","28471616","2.11",,"23-Oct-2025 16:30:43"
"Anand Rathi Wealth Limited","83020634","35463582","    42.72","47557052","4500","     0.01","     0.01",,"23-Oct-2025 16:30:54","9327666","83020633","11.24",,"23-Oct-2025 16:30:54"
"Anant Raj Limited","343260616","206382323","    60.12","136878293","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","20938204","358990901","5.83",,"23-Oct-2025 16:30:36"
"Andhra Cements Limited","92172140","82954926","    90.00","9217214","21890883","    26.39","    23.75",,"23-Oct-2025 16:30:54","22132407","91738142","24.13",,"23-Oct-2025 16:30:54"
"Anik Industries Limited","27753486","10317221","    37.17","17436265","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","625679","22657062","2.76",,"23-Oct-2025 16:30:13"
"Ankit Metal & Power Limited","141110500","100215000","    71.02","40895500","100215000","   100.00","    71.02",,"23-Oct-2025 16:30:48","100859801","141110366","71.48",,"23-Oct-2025 16:30:48"
"Anmol India Limited","56914150","28573550","    50.20","28340600","10936900","    38.28","    19.22",,"23-Oct-2025 16:30:54","12059794","56914150","21.19",,"23-Oct-2025 16:30:54"
"Ansal Properties & Infrastructure Limited","157404876","76768484","    48.77","80636392","55564816","    72.38","    35.30",,"23-Oct-2025 16:30:11","57659506","156843714","36.76",,"23-Oct-2025 16:30:11"
"Antarctica Limited","155009600","1482567","     0.96","153527033","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","1729381","140122695","1.23",,"23-Oct-2025 16:30:25"
"Antelopus Selan Energy Limited","35162358","24592928","    69.94","10569430","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","643699","34922775","1.84",,"23-Oct-2025 16:30:35"
"Antony Waste Handling Cell Limited","28382100","13092129","    46.13","15289971","30000","     0.23","     0.11",,"23-Oct-2025 16:30:52","1728364","28382100","6.09",,"23-Oct-2025 16:30:52"
"Anupam Rasayan India Limited","113848310","67253016","    59.07","46595294","11775000","    17.51","    10.34",,"23-Oct-2025 16:30:53","36635580","113848310","32.18",,"23-Oct-2025 16:30:53"
"Apar Industries Limited","40168315","23204303","    57.77","16964012","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","508096","40107128","1.27",,"23-Oct-2025 16:30:31"
"Apcotex Industries Limited","51844960","30188720","    58.23","21656240","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","1142610","51141678","2.23",,"23-Oct-2025 16:30:13"
"Apollo Hospitals Enterprise Limited","143784657","40287129","    28.02","103497528","3455054","     8.58","     2.40",,"23-Oct-2025 16:30:12","1684402","142817477","1.18",,"23-Oct-2025 16:30:12"
"Apollo Micro Systems Limited","335639648","168923500","    50.33","166716148","60045500","    35.55","    17.89",,"23-Oct-2025 16:30:52","74868317","333532454","22.45",,"23-Oct-2025 16:30:52"
"Apollo Pipes Limited","44048206","20764850","    47.14","23283356","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","2108932","44032556","4.79",,"23-Oct-2025 16:30:53"
"Apollo Sindoori Hotels Limited","2600400","1681882","    64.68","918518","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","15566","2577180","0.6",,"23-Oct-2025 16:30:49"
"Apollo Tyres Limited","635100946","236358083","    37.22","398742863","128500","     0.05","     0.02",,"23-Oct-2025 16:30:17","65666484","628304256","10.45",,"23-Oct-2025 16:30:17"
"Aptech Limited","58002817","27464554","    47.35","30538263","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","3006194","57691379","5.21",,"23-Oct-2025 16:30:29"
"Archean Chemical Industries Limited","123427682","65959184","    53.44","57468498","4841791","     7.34","     3.92",,"23-Oct-2025 16:30:54","6571407","123427682","5.32",,"23-Oct-2025 16:30:54"
"Archidply Industries Limited","19865000","13883523","    69.89","5981477","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","350322","19796830","1.77",,"23-Oct-2025 16:30:42"
"Archies Limited","33780000","20763400","    61.47","13016600","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","947593","33693066","2.81",,"23-Oct-2025 16:30:25"
"Arcotech Limited","105000000","41960144","    39.96","63039856","19154794","    45.65","    18.24",,"23-Oct-2025 16:30:48","19615004","103664183","18.92",,"23-Oct-2025 16:30:48"
"Aries Agro Limited","13004339","6847926","    52.66","6156413","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","340070","12933498","2.63",,"23-Oct-2025 16:30:41"
"Arihant Capital Markets Limited","104112800","72680160","    69.81","31432640","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","3292519","103081400","3.19",,"23-Oct-2025 16:30:53"
"Arihant Superstructures Limited","43249991","30751128","    71.10","12498863","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","2338106","41137222","5.68",,"23-Oct-2025 16:30:51"
"Aro Granite Industries Limited","15300000","6285656","    41.08","9014344","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","245213","15100911","1.62",,"23-Oct-2025 16:30:39"
"Arshiya Limited","263475915","37871225","    14.37","225604690","37871225","   100.00","    14.37",,"23-Oct-2025 16:30:43","46312904","262960064","17.61",,"23-Oct-2025 16:30:43"
"Artemis Medicare Services Limited","138932250","92430790","    66.53","46501460","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","1636136","138314140","1.18",,"23-Oct-2025 16:30:53"
"Arvind Fashions Limited","133504210","46906359","    35.13","86597851","3900000","     8.31","     2.92",,"23-Oct-2025 16:30:52","9230595","133020097","6.94",,"23-Oct-2025 16:30:52"
"Arvind Limited","262114640","103621498","    39.53","158493142","7500000","     7.24","     2.86",,"23-Oct-2025 16:30:07","20116434","260922216","7.71",,"23-Oct-2025 16:30:07"
"Arvind SmartSpaces Limited","45866979","22852999","    49.82","23013980","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","4048630","45698837","8.86",,"23-Oct-2025 16:30:49"
"Asahi India Glass Limited","254927192","131467056","    51.57","123460136","4200000","     3.19","     1.65",,"23-Oct-2025 16:30:25","11716779","253627026","4.62",,"23-Oct-2025 16:30:25"
"Asahi Songwon Colors Limited","11787262","7896960","    67.00","3890302","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","85397","11785166","0.72",,"23-Oct-2025 16:30:46"
"Ashapura Intimates Fashion Limited","25211406","3720692","    14.76","21490714","1924631","    51.73","     7.63",,"23-Oct-2025 16:30:49","2199446","25184590","8.73",,"23-Oct-2025 16:30:49"
"Ashapura Minechem Limited","95526098","45650228","    47.79","49875870","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","6406234","95350115","6.72",,"23-Oct-2025 16:30:22"
"Ashiana Housing Limited","100524857","61426786","    61.11","39098071","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","816438","99334224","0.82",,"23-Oct-2025 16:30:46"
"Ashima Limited","191660078","140842835","    73.49","50817243","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","2218112","190997269","1.16",,"23-Oct-2025 16:30:12"
"Ashok Leyland Limited","5873454552","3048660522","    51.91","2824794030","1235000000","    40.51","    21.03",,"23-Oct-2025 16:30:08","1252135113","5866828616","21.34",,"23-Oct-2025 16:30:08"
"Ashoka Buildcon Limited","280723217","152928785","    54.48","127794432","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","14817985","280723217","5.28",,"23-Oct-2025 16:30:45"
"Asian Granito India Limited","231911649","77603499","    33.46","154308150","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","6893454","231911648","2.97",,"23-Oct-2025 16:30:40"
"Asian Hotels (East) Limited","17291696","11349179","    65.63","5942517","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","128441","17125169","0.75",,"23-Oct-2025 16:30:44"
"Asian Hotels (North) Limited","19453229","0","     0.00","19453229","0",,"     0.00",,"23-Oct-2025 16:30:44","1492117","19338866","7.72",,"23-Oct-2025 16:30:44"
"Asian Paints Limited","959197790","505404771","    52.69","453793019","45862727","     9.07","     4.78",,"23-Oct-2025 16:30:10","53727152","956455991","5.62",,"23-Oct-2025 16:30:10"
"Astec LifeSciences Limited","22281661","16135610","    72.42","6146051","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","930030","22281656","4.17",,"23-Oct-2025 16:30:43"
"Aster DM Healthcare Limited","518121029","210474801","    40.62","307646228","85096820","    40.43","    16.42",,"23-Oct-2025 16:30:52","87075509","518117836","16.81",,"23-Oct-2025 16:30:52"
"Astra Microwave Products Limited","94945008","6205827","     6.54","88739181","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","11243332","94787984","11.86",,"23-Oct-2025 16:30:31"
"AstraZeneca Pharma India Limited","25000000","18750000","    75.00","6250000","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","753774","24881196","3.03",,"23-Oct-2025 16:30:25"
"Astral Limited","268634727","145631166","    54.21","123003561","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","3448063","268619528","1.28",,"23-Oct-2025 16:30:38"
"Astron Paper & Board Mill Limited","46500000","11797322","    25.37","34702678","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","1685086","46499700","3.62",,"23-Oct-2025 16:30:52"
"Atcom Technologies Limited","15340000","2163600","    14.10","13176400","1371500","    63.39","     8.94",,"23-Oct-2025 16:30:22","1451731","14168304","10.25",,"23-Oct-2025 16:30:22"
"Atlas Cycles (Haryana) Limited","6503838","2726494","    41.92","3777344","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","61144","6297677","0.97",,"23-Oct-2025 16:30:24"
"Atul Limited","29441755","13310418","    45.21","16131337","130000","     0.98","     0.44",,"23-Oct-2025 16:30:06","1202838","29233349","4.11",,"23-Oct-2025 16:30:06"
"Auri Grow India Limited","1476240000","0","     0.00","1476240000","0",,"     0.00",,"23-Oct-2025 16:30:52","8801056","1476240000","0.6",,"23-Oct-2025 16:30:52"
"Aurionpro Solutions Limited","55213530","14843336","    26.88","40370194","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","2624498","55176713","4.76",,"23-Oct-2025 16:30:33"
"Aurobindo Pharma Limited","580801623","300948721","    51.82","279852902","52660000","    17.50","     9.07",,"23-Oct-2025 16:30:18","59669249","580185841","10.28",,"23-Oct-2025 16:30:18"
"Aurum PropTech Limited","76605001","36032859","    47.04","40572142","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","1861688","71739760","2.6",,"23-Oct-2025 16:30:49"
"Ausom Enterprise Limited","13623552","10040000","    73.70","3583552","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","10707","12773156","0.08",,"23-Oct-2025 16:30:23"
"Autoline Industries Limited","45375401","14792588","    32.60","30582813","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","630646","43069747","1.46",,"23-Oct-2025 16:30:37"
"Automotive Axles Limited","15111975","10735226","    71.04","4376749","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","125949","15079733","0.84",,"23-Oct-2025 16:30:22"
"Automotive Stampings and Assemblies Limited","15864397","11898296","    75.00","3966101","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","221346","15842205","1.4",,"23-Oct-2025 16:30:29"
"Avadh Sugar & Energy Limited","20018420","12089172","    60.39","7929248","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","696396","19950908","3.49",,"23-Oct-2025 16:30:51"
"Avanti Feeds Limited","136245630","58895153","    43.23","77350477","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","3787249","135761024","2.79",,"23-Oct-2025 16:30:49"
"Avenue Supermarts Limited","650733068","485789156","    74.65","164943912","1000","     0.00","     0.00",,"23-Oct-2025 16:30:51","5848205","646779458","0.9",,"23-Oct-2025 16:30:51"
"Axis Bank Limited","3102879031","347172480","    11.19","2755706551","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","47036295","3100719977","1.52",,"23-Oct-2025 16:30:26"
